iter	Passed	Remaining
936	13779	926
937	13793	911
938	13806	896
939	13817	881
940	13830	867
941	13844	852
942	13855	837
943	13867	822
944	13878	807
945	13890	792
946	13901	778
947	13913	763
948	13924	748
949	13936	733
950	13948	718
951	13961	703
952	13973	689
953	13985	674
954	13996	659
955	14008	644
956	14019	629
957	14030	615
958	14041	600
959	14053	585
960	14065	570
961	14076	556
962	14087	541
963	14097	526
964	14108	511
965	14118	496
966	14128	482
967	14138	467
968	14148	452
969	14158	437
970	14169	423
971	14180	408
972	14191	393
973	14201	379
974	14211	364
975	14221	349
976	14231	335
977	14241	320
978	14252	305
979	14262	291
980	14272	276
981	14284	261
982	14295	247
983	14306	232
984	14317	218
985	14328	203
986	14338	188
987	14349	174
988	14360	159
989	14371	145
990	14382	130
991	14396	116
992	14407	101
993	14418	87
994	14428	72
995	14439	57
996	14449	43
997	14461	28
998	14471	14
999	14482	0
